        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [?C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
19-02-18 10:13:28 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:29 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:30 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:32 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:33 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:34 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:35 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:36 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:37 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:38 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:39 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:40 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:41 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:43 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:44 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:45 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:46 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:47 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:48 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:49 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:50 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:51 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:52 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:54 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:13:55 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:56 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:57 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:58 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:13:59 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:00 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:01 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:02 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:03 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:05 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:06 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:07 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:08 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:09 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:10 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:11 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:12 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:13 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:14 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:16 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:14:17 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:18 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:19 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:20 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:21 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:22 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:23 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:24 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:25 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:27 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:14:28 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:29 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:30 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:31 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:32 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:33 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:34 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:35 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:36 PM,139,202.5,43,0,0,0,0,0,0,1,0.625,
19-02-18 10:14:38 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
